community,building_type,_date,average_price
Agincourt North,Semi-Detached,2010Q2,355405.88
Agincourt North,Semi-Detached,2010Q3,355333.34
Agincourt North,Semi-Detached,2010Q4,355333.34
Agincourt North,Semi-Detached,2011Q1,378750.0
Agincourt North,Semi-Detached,2011Q2,378750.0
Agincourt North,Semi-Detached,2011Q3,402878.44
Agincourt North,Semi-Detached,2011Q4,410931.59
Agincourt North,Semi-Detached,2012Q1,420753.75
Agincourt North,Semi-Detached,2012Q2,443433.34
Agincourt North,Semi-Detached,2012Q3,441522.22
Agincourt North,Semi-Detached,2012Q4,420611.13
Agincourt North,Semi-Detached,2013Q1,438373.5
Agincourt North,Semi-Detached,2013Q2,466173.34
Agincourt North,Semi-Detached,2013Q3,470699.25
Agincourt North,Semi-Detached,2013Q4,504123.06
Agincourt North,Semi-Detached,2014Q1,580497.63
Agincourt North,Semi-Detached,2014Q2,575958.31
Agincourt North,Semi-Detached,2014Q3,536400.0
Agincourt North,Semi-Detached,2014Q4,536400.0
Agincourt North,Semi-Detached,2015Q1,597575.0
Agincourt North,Semi-Detached,2015Q2,630250.0
Agincourt North,Semi-Detached,2015Q3,608709.06
Agincourt North,Semi-Detached,2015Q4,599354.56
Agincourt North,Semi-Detached,2016Q1,660866.69
Agincourt North,Semi-Detached,2016Q2,684285.69
Agincourt North,Semi-Detached,2016Q3,701311.0
Agincourt North,Semi-Detached,2016Q4,667633.31
Agincourt North,Semi-Detached,2017Q1,834566.69
Agincourt North,Semi-Detached,2017Q2,848666.69
Agincourt North,Semi-Detached,2017Q3,848666.69
Agincourt North,Semi-Detached,2017Q4,698777.75
Agincourt North,Semi-Detached,2018Q1,710125.0
Agincourt North,Semi-Detached,2018Q2,704125.0
Agincourt North,Semi-Detached,2018Q3,725266.69
Agincourt North,Semi-Detached,2018Q4,690300.0
Agincourt South-Malvern West,Condo Apt,2001Q1,147532.61
Agincourt South-Malvern West,Condo Apt,2001Q2,140850.89
Agincourt South-Malvern West,Condo Apt,2001Q3,148193.48
Agincourt South-Malvern West,Condo Apt,2001Q4,149672.22
Agincourt South-Malvern West,Condo Apt,2002Q1,151192.59
Agincourt South-Malvern West,Condo Apt,2002Q2,160352.17
Agincourt South-Malvern West,Condo Apt,2002Q3,164611.53
Agincourt South-Malvern West,Condo Apt,2002Q4,161609.38
Agincourt South-Malvern West,Condo Apt,2003Q1,163011.77
Agincourt South-Malvern West,Condo Apt,2003Q2,166458.22
Agincourt South-Malvern West,Condo Apt,2003Q3,167103.84
Agincourt South-Malvern West,Condo Apt,2003Q4,167658.0
Agincourt South-Malvern West,Condo Apt,2004Q1,169951.86
Agincourt South-Malvern West,Condo Apt,2004Q2,164590.47
Agincourt South-Malvern West,Condo Apt,2004Q3,159948.53
Agincourt South-Malvern West,Condo Apt,2004Q4,174455.56
Agincourt South-Malvern West,Condo Apt,2005Q1,161715.63
Agincourt South-Malvern West,Condo Apt,2005Q2,168980.33
Agincourt South-Malvern West,Condo Apt,2005Q3,165964.28
Agincourt South-Malvern West,Condo Apt,2005Q4,172867.19
Agincourt South-Malvern West,Condo Apt,2006Q1,167914.28
Agincourt South-Malvern West,Condo Apt,2006Q2,162844.44
Agincourt South-Malvern West,Condo Apt,2006Q3,167170.97
Agincourt South-Malvern West,Condo Apt,2006Q4,164950.0
Agincourt South-Malvern West,Condo Apt,2007Q1,157375.0
Agincourt South-Malvern West,Condo Apt,2007Q2,164630.3
Agincourt South-Malvern West,Condo Apt,2007Q3,170998.2
Agincourt South-Malvern West,Condo Apt,2007Q4,174250.0
Agincourt South-Malvern West,Condo Apt,2008Q1,170610.28
Agincourt South-Malvern West,Condo Apt,2008Q2,173580.16
Agincourt South-Malvern West,Condo Apt,2008Q3,175599.64
Agincourt South-Malvern West,Condo Apt,2008Q4,175875.0
Agincourt South-Malvern West,Condo Apt,2009Q1,154772.22
Agincourt South-Malvern West,Condo Apt,2009Q2,174245.95
Agincourt South-Malvern West,Condo Apt,2009Q3,179776.39
Agincourt South-Malvern West,Condo Apt,2009Q4,199635.81
Agincourt South-Malvern West,Condo Apt,2010Q1,199635.81
Agincourt South-Malvern West,Condo Apt,2010Q2,188390.63
Agincourt South-Malvern West,Condo Apt,2010Q3,191176.92
Agincourt South-Malvern West,Condo Apt,2010Q4,191176.92
Agincourt South-Malvern West,Condo Apt,2011Q1,194772.0
Agincourt South-Malvern West,Condo Apt,2011Q2,194772.0
Agincourt South-Malvern West,Condo Apt,2011Q3,235507.45
Agincourt South-Malvern West,Condo Apt,2011Q4,249541.17
Agincourt South-Malvern West,Condo Apt,2012Q1,243870.0
Agincourt South-Malvern West,Condo Apt,2012Q2,234508.84
Agincourt South-Malvern West,Condo Apt,2012Q3,225452.5
Agincourt South-Malvern West,Condo Apt,2012Q4,219462.5
Agincourt South-Malvern West,Condo Apt,2013Q1,230787.5
Agincourt South-Malvern West,Condo Apt,2013Q2,259463.73
Agincourt South-Malvern West,Condo Apt,2013Q3,234513.05
Agincourt South-Malvern West,Condo Apt,2013Q4,243408.44
Agincourt South-Malvern West,Condo Apt,2014Q1,231221.22
Agincourt South-Malvern West,Condo Apt,2014Q2,231221.22
Agincourt South-Malvern West,Condo Apt,2014Q3,254867.09
Agincourt South-Malvern West,Condo Apt,2014Q4,256657.69
Agincourt South-Malvern West,Condo Apt,2015Q1,256192.75
Agincourt South-Malvern West,Condo Apt,2015Q2,265285.06
Agincourt South-Malvern West,Condo Apt,2015Q3,263688.13
Agincourt South-Malvern West,Condo Apt,2015Q4,268484.09
Agincourt South-Malvern West,Condo Apt,2016Q1,262307.16
Agincourt South-Malvern West,Condo Apt,2016Q2,292691.13
Agincourt South-Malvern West,Condo Apt,2016Q3,305591.59
Agincourt South-Malvern West,Condo Apt,2016Q4,302640.47
Agincourt South-Malvern West,Condo Apt,2017Q1,358539.28
Agincourt South-Malvern West,Condo Apt,2017Q2,390246.31
Agincourt South-Malvern West,Condo Apt,2017Q3,386301.47
Agincourt South-Malvern West,Condo Apt,2017Q4,382853.81
Agincourt South-Malvern West,Condo Apt,2018Q1,398885.25
Agincourt South-Malvern West,Condo Apt,2018Q2,410938.28
Agincourt South-Malvern West,Condo Apt,2018Q3,408659.91
Agincourt South-Malvern West,Condo Apt,2018Q4,400619.44
Agincourt South-Malvern West,Detached,2001Q1,267335.0
Agincourt South-Malvern West,Detached,2001Q2,289966.66
Agincourt South-Malvern West,Detached,2001Q3,263894.69
Agincourt South-Malvern West,Detached,2001Q4,305617.66
Agincourt South-Malvern West,Detached,2002Q1,288783.34
Agincourt South-Malvern West,Detached,2002Q2,317912.91
Agincourt South-Malvern West,Detached,2002Q3,281767.56
Agincourt South-Malvern West,Detached,2002Q4,346321.0
Agincourt South-Malvern West,Detached,2003Q1,346025.0
Agincourt South-Malvern West,Detached,2003Q2,335651.44
Agincourt South-Malvern West,Detached,2003Q3,359400.0
Agincourt South-Malvern West,Detached,2003Q4,387750.0
Agincourt South-Malvern West,Detached,2004Q1,351454.53
Agincourt South-Malvern West,Detached,2004Q2,338867.94
Agincourt South-Malvern West,Detached,2004Q3,336604.16
Agincourt South-Malvern West,Detached,2004Q4,344517.66
Agincourt South-Malvern West,Detached,2005Q1,343480.0
Agincourt South-Malvern West,Detached,2005Q2,371540.56
Agincourt South-Malvern West,Detached,2005Q3,331827.0
Agincourt South-Malvern West,Detached,2005Q4,365671.34
Agincourt South-Malvern West,Detached,2006Q1,382450.0
Agincourt South-Malvern West,Detached,2006Q2,386692.0
Agincourt South-Malvern West,Detached,2006Q3,361970.97
Agincourt South-Malvern West,Detached,2006Q4,382290.0
Agincourt South-Malvern West,Detached,2007Q1,368625.56
Agincourt South-Malvern West,Detached,2007Q2,414052.34
Agincourt South-Malvern West,Detached,2007Q3,387899.47
Agincourt South-Malvern West,Detached,2007Q4,401940.91
Agincourt South-Malvern West,Detached,2008Q1,400408.34
Agincourt South-Malvern West,Detached,2008Q2,445544.0
Agincourt South-Malvern West,Detached,2008Q3,442293.72
Agincourt South-Malvern West,Detached,2008Q4,354960.0
Agincourt South-Malvern West,Detached,2009Q1,356671.25
Agincourt South-Malvern West,Detached,2009Q2,395172.0
Agincourt South-Malvern West,Detached,2009Q3,402187.09
Agincourt South-Malvern West,Detached,2009Q4,482188.94
Agincourt South-Malvern West,Detached,2010Q1,482188.94
Agincourt South-Malvern West,Detached,2010Q2,468053.13
Agincourt South-Malvern West,Detached,2010Q3,475821.75
Agincourt South-Malvern West,Detached,2010Q4,475821.75
Agincourt South-Malvern West,Detached,2011Q1,517191.59
Agincourt South-Malvern West,Detached,2011Q2,517191.59
Agincourt South-Malvern West,Detached,2011Q3,571212.38
Agincourt South-Malvern West,Detached,2011Q4,565499.94
Agincourt South-Malvern West,Detached,2012Q1,551459.19
Agincourt South-Malvern West,Detached,2012Q2,633271.06
Agincourt South-Malvern West,Detached,2012Q3,554528.56
Agincourt South-Malvern West,Detached,2012Q4,523708.34
Agincourt South-Malvern West,Detached,2013Q1,640917.94
Agincourt South-Malvern West,Detached,2013Q2,635217.13
Agincourt South-Malvern West,Detached,2013Q3,620096.31
Agincourt South-Malvern West,Detached,2013Q4,695581.69
Agincourt South-Malvern West,Detached,2014Q1,643162.5
Agincourt South-Malvern West,Detached,2014Q2,643162.5
Agincourt South-Malvern West,Detached,2014Q3,733279.31
Agincourt South-Malvern West,Detached,2014Q4,771769.25
Agincourt South-Malvern West,Detached,2015Q1,768821.56
Agincourt South-Malvern West,Detached,2015Q2,854139.75
Agincourt South-Malvern West,Detached,2015Q3,783689.44
Agincourt South-Malvern West,Detached,2015Q4,822423.75
Agincourt South-Malvern West,Detached,2016Q1,909507.13
Agincourt South-Malvern West,Detached,2016Q2,967304.75
Agincourt South-Malvern West,Detached,2016Q3,1009811.06
Agincourt South-Malvern West,Detached,2016Q4,1026669.75
Agincourt South-Malvern West,Detached,2017Q1,1217976.5
Agincourt South-Malvern West,Detached,2017Q2,1244894.38
Agincourt South-Malvern West,Detached,2017Q3,1120916.63
Agincourt South-Malvern West,Detached,2017Q4,921014.31
Agincourt South-Malvern West,Detached,2018Q1,1055000.0
Agincourt South-Malvern West,Detached,2018Q2,1010820.0
Agincourt South-Malvern West,Detached,2018Q3,1113845.88
Agincourt South-Malvern West,Detached,2018Q4,843194.44
Agincourt South-Malvern West,Semi-Detached,2001Q1,232866.67
Agincourt South-Malvern West,Semi-Detached,2001Q2,244000.0
Agincourt South-Malvern West,Semi-Detached,2001Q3,242080.0
Agincourt South-Malvern West,Semi-Detached,2001Q4,265450.0
Agincourt South-Malvern West,Semi-Detached,2002Q1,250866.67
Agincourt South-Malvern West,Semi-Detached,2002Q2,253625.0
Agincourt South-Malvern West,Semi-Detached,2002Q3,255255.44
Agincourt South-Malvern West,Semi-Detached,2002Q4,255255.44
Agincourt South-Malvern West,Semi-Detached,2003Q1,255255.44
Agincourt South-Malvern West,Semi-Detached,2003Q2,264200.0
Agincourt South-Malvern West,Semi-Detached,2003Q3,271065.66
Agincourt South-Malvern West,Semi-Detached,2003Q4,263666.66
Agincourt South-Malvern West,Semi-Detached,2004Q1,293800.0
Agincourt South-Malvern West,Semi-Detached,2004Q2,282833.34
Agincourt South-Malvern West,Semi-Detached,2004Q3,270833.34
Agincourt South-Malvern West,Semi-Detached,2004Q4,270833.34
Agincourt South-Malvern West,Semi-Detached,2005Q1,277948.81
Agincourt South-Malvern West,Semi-Detached,2005Q2,277500.0
Agincourt South-Malvern West,Semi-Detached,2005Q3,277750.0
Agincourt South-Malvern West,Semi-Detached,2005Q4,282633.34
Agincourt South-Malvern West,Semi-Detached,2006Q1,285500.0
Agincourt South-Malvern West,Semi-Detached,2006Q2,289885.0
Agincourt South-Malvern West,Semi-Detached,2006Q3,299666.66
Agincourt South-Malvern West,Semi-Detached,2006Q4,299200.0
Agincourt South-Malvern West,Semi-Detached,2007Q1,284083.34
Agincourt South-Malvern West,Semi-Detached,2007Q2,320572.22
Agincourt South-Malvern West,Semi-Detached,2007Q3,304166.66
Agincourt South-Malvern West,Semi-Detached,2007Q4,318100.0
Agincourt South-Malvern West,Semi-Detached,2008Q1,317266.66
Agincourt South-Malvern West,Semi-Detached,2008Q2,316400.0
Agincourt South-Malvern West,Semi-Detached,2008Q3,339750.0
Agincourt South-Malvern West,Semi-Detached,2008Q4,339750.0
Agincourt South-Malvern West,Semi-Detached,2009Q1,328533.34
Agincourt South-Malvern West,Semi-Detached,2009Q2,335358.66
Agincourt South-Malvern West,Semi-Detached,2009Q3,342442.84
Agincourt South-Malvern West,Semi-Detached,2009Q4,375266.66
Agincourt South-Malvern West,Semi-Detached,2010Q1,375266.66
Agincourt South-Malvern West,Semi-Detached,2010Q2,344777.78
Agincourt South-Malvern West,Semi-Detached,2010Q3,344777.78
Agincourt South-Malvern West,Semi-Detached,2010Q4,344777.78
Agincourt South-Malvern West,Semi-Detached,2011Q1,418000.0
Agincourt South-Malvern West,Semi-Detached,2011Q2,418000.0
Agincourt South-Malvern West,Semi-Detached,2011Q3,427666.66
Agincourt South-Malvern West,Semi-Detached,2011Q4,427666.66
Agincourt South-Malvern West,Semi-Detached,2012Q1,436322.66
Agincourt South-Malvern West,Semi-Detached,2012Q2,446850.0
Agincourt South-Malvern West,Semi-Detached,2012Q3,406696.66
Agincourt South-Malvern West,Semi-Detached,2012Q4,406696.66
Agincourt South-Malvern West,Semi-Detached,2013Q1,465333.34
Agincourt South-Malvern West,Semi-Detached,2013Q2,476679.78
Agincourt South-Malvern West,Semi-Detached,2013Q3,476679.78
Agincourt South-Malvern West,Semi-Detached,2013Q4,467300.0
Agincourt South-Malvern West,Semi-Detached,2014Q1,599600.0
Agincourt South-Malvern West,Semi-Detached,2014Q2,542900.0
Agincourt South-Malvern West,Semi-Detached,2014Q3,528714.31
Agincourt South-Malvern West,Semi-Detached,2014Q4,528714.31
Agincourt South-Malvern West,Semi-Detached,2015Q1,528714.31
Agincourt South-Malvern West,Semi-Detached,2015Q2,556040.0
Agincourt South-Malvern West,Semi-Detached,2015Q3,564000.0
Agincourt South-Malvern West,Semi-Detached,2015Q4,586200.0
Agincourt South-Malvern West,Semi-Detached,2016Q1,708200.0
Agincourt South-Malvern West,Semi-Detached,2016Q2,696111.0
Agincourt South-Malvern West,Semi-Detached,2016Q3,713000.0
Agincourt South-Malvern West,Semi-Detached,2016Q4,681577.63
Agincourt South-Malvern West,Semi-Detached,2017Q1,681577.63
Agincourt South-Malvern West,Semi-Detached,2017Q2,815000.0
Agincourt South-Malvern West,Semi-Detached,2017Q3,815000.0
Agincourt South-Malvern West,Semi-Detached,2017Q4,815000.0
Agincourt South-Malvern West,Semi-Detached,2018Q1,815000.0
